h2o,ex,peg,mdx,chi6,rep,activator,dCas9,5,8,9,11,12,14,15,17,18,19,20,21,22,23,0,mg,k,energy,slope,,0,19.7027027,4.379045662,,0,16.04054054,6.907714568
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,6.621621622,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,9.081081081,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,10.27027027,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,31.72972973,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,34.21621622,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,35.75675676,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,39.16216216,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,42.59459459,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,1,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,4.864864865,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,10.21621622,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,11.81081081,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,13,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,13.51351351,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,6.837837838,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,11.81081081,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,12.83783784,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,14.32432432,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,14.35135135,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,16.78378378,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,5.351351351,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,13.32432432,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,21.83783784,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,24.45945946,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,25.08108108,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,26.64864865,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,3.783783784,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,13.64864865,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,14.02702703,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,17.48648649,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,21.59459459,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,25.7027027,,,,,,,,
